product_id,price_range,area,price_per_m2,number_of_bedrooms,number_of_bathrooms,number_of_stories,front_length,legal_status,isFurnished,old_address,post_type,isVerified
41735577,18.0,70.0,257.14,17.0,18.0,7.0,,True,Đầy đủ,Nam Từ Liêm,Tin thường,False
41737480,7.7,45.0,171.11,3.0,3.0,5.0,,True,,Ba Đình,Tin thường,False
41757261,6.9,38.0,181.58,3.0,,,,True,,Đống Đa,Tin thường,False
41757772,7.9,48.0,164.58,4.0,,5.0,,True,,Đống Đa,Tin thường,False
41774395,35.0,90.0,388.89,,,4.0,6.3,True,,Ba Đình,Tin thường,False
41774677,30.0,85.0,352.94,,,,,True,,Ba Đình,Tin thường,False
41794286,30.0,130.0,230.77,8.0,4.0,5.0,6.2,True,,Hai Bà Trưng,Tin thường,False
41821674,7.6,36.0,211.11,3.0,3.0,5.0,,True,,Ba Đình,Tin thường,False
41828577,4.65,34.0,136.76,3.0,4.0,5.0,5.0,True,Cơ bản,Hà Đông,Tin VIP Bạc,False
41829359,10.5,66.0,159.09,4.0,3.0,4.0,5.0,True,Đầy đủ,Ba Đình,Tin thường,False
41831540,12.95,50.0,259.0,5.0,4.0,5.0,4.0,True,Đầy đủ,Hai Bà Trưng,Tin thường,False
41920465,5.3,33.0,160.61,3.0,3.0,4.0,4.0,True,Cơ bản,Nam Từ Liêm,Tin thường,False
41929517,13.8,48.0,287.5,4.0,3.0,5.0,,True,,Nam Từ Liêm,Tin thường,False
41957821,40.0,105.0,380.95,,,6.0,6.5,True,Đầy đủ,Ba Đình,Tin thường,False
41963385,18.5,55.0,336.36,4.0,3.0,5.0,,True,Nội thất cao cấp.,Thanh Xuân,Tin thường,False
41963463,54.5,110.0,495.46,8.0,8.0,8.0,,True,,Thanh Xuân,Tin thường,False
41971006,12.5,80.0,156.25,,,,,,Full nội thất.,Hà Đông,Tin thường,False
41972198,36.0,106.0,339.62,,,5.0,6.5,True,,Ba Đình,Tin thường,False
41976890,28.0,107.0,261.68,13.0,8.0,5.0,,True,Đầy đủ.,Hai Bà Trưng,Tin thường,False
41986806,12.9,45.0,286.67,4.0,4.0,6.0,4.0,True,Đầy đủ,Cầu Giấy,Tin thường,False
42013392,12.5,71.0,176.06,,,2.0,6.45,True,,Gia Lâm,Tin thường,False
42021924,31.0,70.0,442.86,,,2.0,4.9,True,,Hoàng Mai,Tin thường,False
42035901,18.2,75.0,242.67,6.0,6.0,4.0,5.0,True,Đầy đủ.,Hoàng Mai,Tin thường,False
42036171,27.9,80.0,348.75,5.0,4.0,3.0,5.3,True,,Hoàng Mai,Tin thường,False
42042192,26.8,80.0,335.0,,,5.0,4.5,,,Cầu Giấy,Tin thường,False
42062945,14.4,75.0,192.0,4.0,4.0,1.0,5.8,True,,Hoàng Mai,Tin thường,False
42065707,8.55,43.0,198.84,5.0,,5.0,,True,,Đống Đa,Tin thường,False
42065797,7.4,41.0,180.49,5.0,,5.0,,True,,Đống Đa,Tin thường,False
42065823,7.0,38.0,184.21,3.0,3.0,4.0,,True,,Đống Đa,Tin thường,False
42079203,44.0,90.0,488.89,,,7.0,7.0,True,,Đống Đa,Tin thường,False
42083056,18.3,55.0,332.73,,,7.0,,True,Full nội thất,Hà Đông,Tin thường,False
42116615,5.95,37.0,160.81,4.0,3.0,3.0,,True,"Đầy đủ nội thất như điều hòa, tủ lạnh, giường...",Đống Đa,Tin thường,False
42120542,13.7,48.0,285.42,3.0,3.0,6.0,4.0,True,Đầy đủ nội thất nhập khẩu.,Long Biên,Tin thường,False
42124722,14.0,70.0,200.0,2.0,3.0,4.0,5.0,True,,Hà Đông,Tin thường,False
42131629,52.0,145.0,358.62,20.0,20.0,8.0,6.5,True,Full nội thất.,Hai Bà Trưng,Tin thường,False
42150770,31.6,53.0,596.23,4.0,4.0,4.0,4.3,True,Đầy đủ,Đống Đa,Tin thường,False
42152374,33.0,85.0,388.24,20.0,20.0,7.0,,True,"Khoá từ vân tay, camera từng tầng, hệ thống PCCC điện thông minh.",Thanh Xuân,Tin thường,False
42158555,54.0,115.0,469.56,,,9.0,6.0,True,,Tây Hồ,Tin thường,False
42161419,15.5,59.8,259.2,12.0,12.0,5.0,5.0,True,Full nội thất.,Hai Bà Trưng,Tin thường,False
42163452,33.0,98.0,336.74,29.0,29.0,8.0,,True,Đầy đủ,Thanh Xuân,Tin thường,False
42163486,25.0,85.0,294.12,25.0,25.0,7.0,6.9,True,Đầy đủ,Nam Từ Liêm,Tin thường,False
42168974,7.5,41.0,182.93,3.0,,5.0,,True,Khách thiện chí chủ để lại toàn bộ nội thất.,Đống Đa,Tin thường,False
42171542,28.0,128.0,218.75,18.0,18.0,6.0,5.5,True,Đầy đủ,Nam Từ Liêm,Tin thường,False
42174445,22.5,60.0,375.0,,,6.0,6.0,,"Nội thất cao cấp, full điều hòa, sàn gỗ, cửa kính sang trọng.",Đống Đa,Tin thường,False
42193779,10.0,45.0,222.22,4.0,3.0,6.0,4.0,True,Đầy đủ,Đống Đa,Tin thường,False
42217087,13.0,58.0,224.14,11.0,11.0,7.0,,True,"Đầy đủ gồm giường, tủ, bếp từ, nóng lạnh, điều hòa, hút mùi, kệ giày, máy sưởi,...",Ba Đình,Tin thường,False
